"Departamento","Municipio","Cultivo","Estado","Topografia","Drenaje","Riego","Fertilizantes aplicados","Secuencial"
"CUNDINAMARCA","FUNZA","Alfalfa","No indica","No indica","No indica","No Indica","No indica","73.513"
"CUNDINAMARCA","FUNZA","Lechuga","No indica","Plano","No indica","Aspersión","No indica","78.283"
"CUNDINAMARCA","FUNZA","Lechuga","No indica","Plano","No indica","Aspersión","No indica","78.299"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","Buen drenaje","No Indica","No indica","80.943"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","No Indica","No indica","84.474"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","No Indica","No indica","84.475"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","No Indica","No indica","84.476"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","Cañon","No indica","89.671"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","Cañon","No indica","89.672"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","Cañon","No indica","89.673"
"CUNDINAMARCA","FUNZA","Pasto Kikuyo","ESTABLECIDO","Plano","Buen drenaje","Cañon","No indica","89.674"
